name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Plasmodium yoelii	5861	S	3425	582	4007	0.00010
Plasmodium chabaudi	5825	S	2857	413	3270	0.00009
Plasmodium reichenowi	5854	S	2378	1176	3554	0.00009
Plasmodium falciparum	5833	S	1967	845	2812	0.00007
Plasmodium adleri (nom. inval.)	880535	S	1862	1037	2899	0.00008
Plasmodium gaboni	647221	S	1501	957	2458	0.00006
Plasmodium relictum	85471	S	4424	268	4692	0.00012
Plasmodium coatneyi	208452	S	2573	168	2741	0.00007
Theileria annulata	5874	S	1890	62	1952	0.00005
Theileria orientalis	68886	S	1221	15	1236	0.00003
Theileria parva	5875	S	1202	31	1233	0.00003
Theileria equi	5872	S	934	1	935	0.00002
Babesia microti	5868	S	1017	8	1025	0.00003
Babesia duncani	323732	S	780	5	785	0.00002
Babesia bovis	5865	S	539	0	539	0.00001
Babesia bigemina	5866	S	357	15	372	0.00001
Toxoplasma gondii	5811	S	3932	390	4322	0.00011
Besnoitia besnoiti	94643	S	3076	28	3104	0.00008
Neospora caninum	29176	S	2814	4	2818	0.00007
Cryptosporidium parvum	5807	S	2217	27	2244	0.00006
Paramecium tetraurelia	5888	S	174	0	174	0.00000
Phaeodactylum tricornutum	2850	S	1990	3	1993	0.00005
Thalassiosira pseudonana	35128	S	1171	4	1175	0.00003
Bremia lactucae	4779	S	2458	2	2460	0.00006
Bigelowiella natans	227086	S	128	0	128	0.00000
Leishmania infantum	5671	S	582	1226	1808	0.00005
Leishmania donovani	5661	S	536	1126	1662	0.00004
Leishmania martiniquensis	1580590	S	3070	55	3125	0.00008
Leishmania major	5664	S	2971	519	3490	0.00009
Leishmania mexicana	5665	S	2913	167	3080	0.00008
Leishmania sp. Namibia	2802991	S	1538	302	1840	0.00005
Leishmania sp. Ghana 2012 LV757	2803181	S	1532	853	2385	0.00006
Leishmania enriettii	5663	S	1867	124	1991	0.00005
Leishmania orientalis	2249476	S	1456	914	2370	0.00006
Leishmania panamensis	5679	S	1496	611	2107	0.00005
Leishmania braziliensis	5660	S	1381	542	1923	0.00005
Porcisia hertigi	2761500	S	2722	14	2736	0.00007
Trypanosoma brucei	5691	S	2484	13	2497	0.00007
Trichomonas vaginalis	5722	S	13010	20	13030	0.00034
Spironucleus salmonicida	348837	S	2677	2	2679	0.00007
Giardia duodenalis	5741	S	565	0	565	0.00001
Dictyostelium discoideum	44689	S	7480	165	7645	0.00020
Cyanidioschyzon merolae	45157	S	743	2	745	0.00002
Hemiselmis andersenii	464988	S	125	1	126	0.00000
Cryptomonas paramaecium	2898	S	98	6	104	0.00000
Guillardia theta	55529	S	181	40	221	0.00001
Edwardsiella tarda	636	S	949392	129714	1079106	0.02816
Edwardsiella piscicida	1263550	S	2424	138	2562	0.00007
Edwardsiella hoshinae	93378	S	518	13	531	0.00001
Edwardsiella ictaluri	67780	S	344	59	403	0.00001
Edwardsiella anguillarum	1821960	S	134	669	803	0.00002
Hafnia alvei	569	S	660	214	874	0.00002
Hafnia paralvei	546367	S	189	19	208	0.00001
Obesumbacterium proteus	82983	S	41	5	46	0.00000
Plesiomonas shigelloides	703	S	136467	9065	145532	0.00380
Klebsiella pneumoniae	573	S	8282	45685	53967	0.00141
Klebsiella quasipneumoniae	1463165	S	2470	2193	4663	0.00012
Klebsiella variicola	244366	S	647	1623	2270	0.00006
Klebsiella quasivariicola	2026240	S	112	33	145	0.00000
Klebsiella aerogenes	548	S	965	126	1091	0.00003
Klebsiella sp. I138	2755385	S	214	6	220	0.00001
Klebsiella sp. B345	2755398	S	76	15	91	0.00000
Klebsiella sp. X13	2259647	S	61	198	259	0.00001
Klebsiella sp. MISC125	2755386	S	59	16	75	0.00000
Klebsiella sp. R390	2755400	S	59	11	70	0.00000
Klebsiella sp. HC6	2923366	S	48	7	55	0.00000
Klebsiella sp. WOUb02	3161071	S	47	1	48	0.00000
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	40	185	225	0.00001
Klebsiella sp. R2A007	3416669	S	16	19	35	0.00000
Klebsiella sp. K4	2769349	S	13	233	246	0.00001
Klebsiella sp. CTHL.F3a	2873296	S	13	19	32	0.00000
Klebsiella sp. P1CD1	2267618	S	11	31	42	0.00000
Klebsiella sp. PL-2018	2851540	S	11	10	21	0.00000
Klebsiella michiganensis	1134687	S	619	388	1007	0.00003
Klebsiella oxytoca	571	S	590	80	670	0.00002
Klebsiella ornithinolytica	54291	S	440	705	1145	0.00003
Klebsiella planticola	575	S	345	213	558	0.00001
Klebsiella huaxiensis	2153354	S	161	25	186	0.00000
Klebsiella electrica	1259973	S	112	9	121	0.00000
Klebsiella grimontii	2058152	S	112	164	276	0.00001
Klebsiella terrigena	577	S	109	24	133	0.00000
Klebsiella pasteurii	2587529	S	70	139	209	0.00001
Klebsiella africana	2489010	S	58	6	64	0.00000
Citrobacter meridianamericanus	2894201	S	7750	1863	9613	0.00025
Citrobacter freundii	546	S	2061	5871	7932	0.00021
Citrobacter werkmanii	67827	S	1613	1252	2865	0.00007
Citrobacter braakii	57706	S	1386	3594	4980	0.00013
Citrobacter portucalensis	1639133	S	1203	1473	2676	0.00007
Citrobacter cronae	1748967	S	169	547	716	0.00002
