name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Flavobacterium aquiphilum	3003261	S	981	86	1067	0.00004
Flavobacterium mekongense	3379707	S	952	57	1009	0.00004
Flavobacterium inviolabile	2748320	S	930	82	1012	0.00004
Flavobacterium johnsoniae	986	S	891	1014	1905	0.00007
Flavobacterium ginsenosidimutans	687844	S	868	292	1160	0.00004
Flavobacterium soyae	2903098	S	859	185	1044	0.00004
Flavobacterium gilvum	1492737	S	844	60	904	0.00003
Flavobacterium sediminis	2201181	S	836	813	1649	0.00006
Flavobacterium panacagri	3034146	S	797	272	1069	0.00004
Flavobacterium psychrophilum	96345	S	786	104	890	0.00003
Flavobacterium nakdongense	3073563	S	775	54	829	0.00003
Flavobacterium crocinum	2183896	S	739	251	990	0.00004
Flavobacterium agricola	2870839	S	732	123	855	0.00003
Flavobacterium pallidum	2172098	S	720	31	751	0.00003
Flavobacterium endoglycinae	2816357	S	719	96	815	0.00003
Flavobacterium gelatinilyticum	3003260	S	714	156	870	0.00003
Flavobacterium dauae	1563479	S	709	196	905	0.00003
Flavobacterium magnum	2162713	S	692	29	721	0.00003
Flavobacterium litorale	2856519	S	687	31	718	0.00003
Flavobacterium sangjuense	2518177	S	677	30	707	0.00003
Flavobacterium humidisoli	2937442	S	662	290	952	0.00004
Flavobacterium haoranii	683124	S	657	207	864	0.00003
Flavobacterium arcticum	1784713	S	648	37	685	0.00003
Flavobacterium lacustre	3016339	S	639	65	704	0.00003
Flavobacterium ardleyense	2038737	S	611	39	650	0.00002
Flavobacterium cupriresistens	2893885	S	601	93	694	0.00003
Flavobacterium nackdongense	2547394	S	597	27	624	0.00002
Flavobacterium fluviale	2249356	S	595	220	815	0.00003
Flavobacterium ovatum	1928857	S	592	76	668	0.00003
Flavobacterium azooxidireducens	1871076	S	584	20	604	0.00002
Flavobacterium collinsii	1114861	S	570	196	766	0.00003
Flavobacterium commune	1306519	S	560	56	616	0.00002
Flavobacterium marginilacus	3003256	S	554	42	596	0.00002
Flavobacterium adiutor	3400345	S	553	110	663	0.00002
Flavobacterium galactosidilyticum	2893886	S	531	97	628	0.00002
Flavobacterium pectinovorum	29533	S	522	90	612	0.00002
Flavobacterium limnophilum	3003262	S	519	48	567	0.00002
Flavobacterium nitratireducens	992289	S	514	51	565	0.00002
Flavobacterium crassostreae	1763534	S	497	68	565	0.00002
Flavobacterium aestivum	3003257	S	480	39	519	0.00002
Flavobacterium flavipigmentatum	2893884	S	471	64	535	0.00002
Flavobacterium davisii	2906077	S	426	97	523	0.00002
Flavobacterium capsici	3075618	S	421	21	442	0.00002
Flavobacterium bizetiae	2704140	S	405	102	507	0.00002
Flavobacterium flavigenum	3003258	S	395	130	525	0.00002
Flavobacterium columnare	996	S	378	376	754	0.00003
